stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,alias,stop_area,stop_desc,lest_x,lest_y,zone_name
10739,05009-1,Kivimäe,59.37676017,24.65608868,10739,,Nõmme,,6582267.5,537295.87,Harju1
10741,04105-1,Pääsküla,59.36935753,24.64086714,10741,Pääsküla,Nõmme,,6581434.5,536438.5,Harju1
10742,04106-1,Pääsküla,59.36961302,24.64185906,10742,Pääsküla,Nõmme,,6581463.5,536494.62,Harju1
10744,04408-1,Laagri,59.354327100000006,24.62756319,10744,Laagri,Nõmme,,6579753.0,535697.75,Harju1
10745,04409-1,Laagri,59.35499895,24.62785899,10745,Laagri,Nõmme,,6579828.0,535713.87,Harju1
10746,23424-1,Saue,59.32481481,24.54746466,10746,Saue,Saue linn,,6576425.5,531168.43,Harju2
10747,23425-1,Saue,59.3250695,24.54881576,10747,Saue,Saue linn,,6576454.5,531245.12,Harju2
10750,23363-1,Valingu,59.31157586,24.48537142,10750,Valingu,Saue vald,,6574923.5,527644.06,Harju2
10751,23364-1,Valingu,59.31140311,24.48353415,10751,Valingu,Saue vald,,6574903.5,527539.56,Harju2
10757,21828-1,Keila,59.30609644,24.41724942,10757,Keila,Keila linn,,6574287.0,523768.06,Harju3
10763,21783-1,Niitvälja,59.31407993,24.32034193,10763,Niitvälja,Keila vald,,6575146.0,518243.65,Harju3
10764,21784-1,Niitvälja,59.31397119,24.32076124,10764,Niitvälja,Keila vald,,6575134.0,518267.59,Harju3
10767,21776-1,Klooga,59.32046011,24.25826394,10767,Klooga,Keila vald,,6575841.5,514705.56,Harju3
10768,21777-1,Klooga,59.32031058,24.25898342,10768,Klooga,Keila vald,,6575825.0,514746.59,Harju3
10777,21778-1,Klooga aedlinn,59.32446899999999,24.21826805,10777,Klooga-aedlinn,Keila vald,,6576280.0,512426.75,Harju3
10778,21779-1,Klooga aedlinn,59.32462779,24.21723989,10778,Klooga-aedlinn,Keila vald,,6576297.5,512368.15,Harju3
10781,21786-1,Põllküla,59.32906813,24.17416631,10781,Põllküla,Keila vald,,6576785.0,509914.56,Harju4
10782,21785-1,Põllküla,59.32898713,24.17432894,10782,Põllküla,Keila vald,,6576776.0,509923.84,Harju4
10785,22907-1,Laoküla,59.33322611,24.13445159,10785,Laoküla,Keila vald,,6577243.0,507652.84,Harju4
10786,22908-1,Laoküla,59.33316767,24.13453701,10786,Laoküla,Keila vald,,6577236.5,507657.71,Harju4
10789,22909-1,Paldiski,59.34412004,24.06091842,10789,Paldiski,Paldiski linn,,6578450.5,503466.31,Harju4
10790,22910-1,Paldiski,59.34393143,24.06114106,10790,Paldiski,Paldiski linn,,6578429.5,503479.0,Harju4
10832,21310-1,Aegviidu,59.28542591,25.61281429,10832,Aegviidu,Aegviidu vald,,6573015.5,591918.93,Harju4
10833,21309-1,Aegviidu,59.28518473,25.61307716,10833,Aegviidu,Aegviidu vald,,6572989.0,591934.56,Harju4
10834,37102-1,Mustjõe,59.29823549,25.465111800000003,10834,,Anija vald,,6574249.0,583471.18,Harju4
10835,37101-1,Mustjõe,59.29835104,25.46441344,10835,,Anija vald,,6574261.0,583431.12,Harju4
10844,37905-1,Kehra,59.33722237,25.33405909,10844,Kehra,Anija vald,,6578435.5,575919.43,Harju4
10845,37904-1,Kehra,59.33676177,25.33520764,10845,Kehra,Anija vald,,6578385.5,575985.81,Harju4
10849,38202-1,Parila,59.35681435,25.26728458,10849,,Anija vald,,6580544.0,572078.62,Harju3
10850,38201-1,Parila,59.35697777,25.26616524,10850,,Anija vald,,6580561.0,572014.62,Harju3
10853,41004-1,Raasiku,59.36574533,25.17377321,10853,Raasiku,Raasiku vald,,6581442.0,566743.18,Harju3
10854,41003-1,Raasiku,59.36557396,25.1748666,10854,Raasiku,Raasiku vald,,6581424.0,566805.68,Harju3
10857,41105-1,Aruküla,59.3720346,25.079487699999998,10857,Aruküla,Raasiku vald,,6582052.5,561371.12,Harju2
10858,41104-1,Aruküla,59.37208321,25.0773926,10858,Aruküla,Raasiku vald,,6582056.0,561251.93,Harju2
10861,41314-1,Kulli,59.38354752,25.00308822,10861,Kulli,Raasiku vald,,6583267.5,557008.81,Harju2
10862,41313-1,Kulli,59.38349029,25.00294027,10862,Kulli,Raasiku vald,,6583261.0,557000.5,Harju2
10865,43157-1,Lagedi,59.39975161,24.93169943,10865,Lagedi,Rae vald,,6585014.0,552926.75,Harju2
10866,43158-1,Lagedi,59.39930748,24.93229799,10866,Lagedi,Rae vald,,6584965.0,552961.43,Harju2
10872,13709-1,Vesse,59.42306429,24.81916097,10872,Vesse,Lasnamäe,,6587527.5,546502.43,Harju1
10873,13710-1,Vesse,59.42300162,24.81913415,10873,Vesse,Lasnamäe,,6587520.5,546501.0,Harju1
10877,13411-1,Ülemiste,59.42338249,24.79508362,10877,Ülemiste,Lasnamäe,,6587546.5,545135.25,Harju1
10878,13412-1,Ülemiste,59.42329729,24.79581271,10878,Ülemiste,Lasnamäe,,6587537.5,545176.75,Harju1
12294,23509-1,Vasalemma,59.23844206,24.29894238,12294,Vasalemma,Vasalemma vald,,6566714.5,517062.5,Harju4
12295,23510-1,Vasalemma,59.23863413,24.29935469,12295,Vasalemma,Vasalemma vald,,6566736.0,517085.93,Harju4
12297,21955-1,Kibuna,59.2143868,24.29360391,12297,Kibuna,Kernu vald,,6564033.5,516769.53,Harju4
12299,21956-1,Kibuna,59.21466995,24.29343562,12299,Kibuna,Kernu vald,,6564065.0,516759.78,Harju4
12301,21957-1,Laitse,59.19479357,24.31514725,12301,Laitse,Kernu vald,,6561856.5,518010.25,Harju4
12302,21958-1,Laitse,59.19515767,24.31492857,12302,Laitse,Kernu vald,,6561897.0,517997.56,Harju4
12303,21953-1,Jaanika,59.15792795,24.31737895,12303,,Nissi vald,,6557750.5,518157.21,Harju4
12304,21954-1,Jaanika,59.15798146,24.31752475,12304,,Nissi vald,,6557756.5,518165.53,Harju4
12305,22744-1,Riisipere,59.11945963,24.3121061,12305,Riisipere,Nissi vald,,6553464.0,517875.5,Harju4
12307,21781-1,Kulna,59.28631684,24.3543932,12307,Kulna,Keila vald,,6572063.0,520199.21,Harju3
12308,21782-1,Kulna,59.28625389,24.35443532,12308,Kulna,Keila vald,,6572056.0,520201.65,Harju3
12667,23281-1,Kasemetsa,59.27356241,24.67681218,12667,,Saku vald,,6570783.5,538589.87,Harju2
12668,23282-1,Kasemetsa,59.27342812,24.67674047,12668,,Saku vald,,6570768.5,538585.93,Harju2
12679,23283-1,Kiisa,59.23877922,24.68557232,12679,Kiisa,Saku vald,,6566914.0,539128.93,Harju3
12680,23284-1,Kiisa,59.2390162,24.68574788,12680,Kiisa,Saku vald,,6566940.5,539138.68,Harju3
34252,06413-1,Liiva,59.38800908,24.72350852,34252,,Nõmme,,6583560.0,541114.75,Harju1
12939,23289-1,Saku,59.30111433,24.67663499,12939,Saku,Saku vald,,6573852.5,538548.81,Harju2
12940,23291-1,Roobuka,59.22144993,24.69548811,12940,,Saku vald,,6564989.5,539714.87,Harju3
12941,23292-1,Roobuka,59.22148942,24.69565966,12941,,Saku vald,,6564994.0,539724.62,Harju3
12942,23290-1,Saku,59.30140881,24.67697541,12942,Saku,Saku vald,,6573885.5,538567.87,Harju2
34247,5990002-1,Jäneda,59.25494759,25.70789764,34247,Jäneda,Tapa vald,,6569755.5,597423.31,
34045,5990017-1,Rakvere,59.35753968,26.36322567,34045,Rakvere,Rakvere linn,,6582311.5,634389.18,
34112,7890025-1,Tartu,58.37393011,26.70618453,34112,Tartu,Tartu linn,,6473576.0,658301.25,TartuLinn
10756,21829-1,Keila,59.30619714,24.41663347,10756,Keila,Keila linn,,6574298.0,523732.9,Harju3
34041,4490009-1,Kohtla-Nõmme,59.36182298,27.18901733,34041,,Kohtla-Nõmme alev,,6584731.5,681295.87,
34237,4490017-1,Püssi,59.35848887,27.04868226,34237,Püssi,Lüganuse vald,,6583989.5,673340.31,
34236,4490010-1,Kohtla-Nõmme,59.36192732,27.18897644,34236,,Kohtla-Nõmme alev,,6584743.0,681293.0,
34082,8490005-1,Viljandi,58.35788637,25.57409271,34082,Viljandi,Viljandi linn,,6469676.5,592136.75,ViljandiLinn
34124,07511-1,Tallinn-Väike,59.4128799,24.74595367,34124,,Kesklinn,,6586344.5,542359.37,Harju1
34000,23203-1,Männiku,59.33890625,24.70174137,34000,,Saku vald,,6578077.0,539935.06,Harju2
34001,7090007-1,Kohila,59.17103305,24.74345552,34001,Kohila,Kohila alev,,6559403.0,542516.12,Harju4
34002,5990009-1,Lehtse,59.25442846,25.82461287,34002,Lehtse,Lehtse alevik,,6569873.0,604081.06,
34003,5990015-1,Rakke,58.99027305,26.24278908,34003,Rakke,Rakke alevik,,6541187.5,628910.62,
34004,21312-1,Nelijärve,59.27043014,25.65282122,34004,,Aegviidu vald,,6571401.0,594239.75,Harju4
34005,5990007-1,Kiltsi,59.08783822,26.17670932,34005,,Kiltsi alevik,,6551924.5,624761.25,
34006,5990005-1,Kadrina,59.33817823,26.14682767,34006,Kadrina,Kadrina alevik,,6579742.0,622156.75,
34007,4490020-1,Sonda,59.34948311,26.842361,34007,,Sonda alevik,,6582472.0,661659.18,
34009,5990001-1,Jäneda,59.25485902,25.70711514,34009,Jäneda,Tapa vald,,6569744.5,597378.93,
34010,4490022-1,Vaivara,59.37292024,27.76812294,34010,,Vaivara vald,,6587673.0,714116.68,
34013,7090003-1,Hagudi,59.06535043,24.81344374,34013,,Hagudi alevik,,6547678.0,546661.12,
34014,7090005-1,Keava,58.94360586,24.89798485,34014,,Keava alevik,,6534180.0,551691.87,
34015,7090011-1,Käru,58.83412507,25.14385174,34015,Käru,Käru alevik,,6522202.5,566051.75,
34016,5190003-1,Kärevere,58.72528504,25.51819669,34016,,Türi vald,,6510511.5,587939.43,tartu1
34020,7090001-1,Eidapere,58.75720855,24.93914164,34020,,Eidapere alevik,,6513452.5,554351.56,
34022,5990003-1,Kabala,59.34494804,26.67490752,34022,,Rägavere vald,,6581575.5,652160.62,
34023,6790006-1,Tootsi,58.56411315,24.81097177,34023,Tootsi Pärnumaa,Tori vald,,6491850.0,547194.31,
34025,7090009-1,Koogiste,58.79332867,24.998649800000003,34025,,Kehtna vald,,6517525.0,557735.37,
34028,6790010-1,Viluvere,58.64216105,24.86554437,34028,,Vändra vald,,6500582.0,550257.81,
34030,7090013-1,Lelle,58.86793105,25.00656706,34030,Lelle,Lelle alevik,,6525840.5,558068.37,
34032,6790008-1,Tori,58.50947661,24.79515754,34032,,Tori vald,,6485754.0,546346.18,
34035,5190005-1,Ollepa,58.66594229,25.54090274,34035,,Türi vald,,6503933.5,589406.25,
34038,7090019-1,Vilivere,59.201187,24.71314422,34038,,Kohila vald,,6562743.0,540747.06,Harju4
34040,6790001-1,Pärnu kaubajaam,58.39525061,24.58773326,34040,,Pärnu linn,,6472907.5,534368.18,"PärnuLinn,PärnuMVLL"
34042,4490014-1,Oru,59.37542997,27.58307811,34042,Oru,Oru linnaosa,,6587376.0,703597.18,
34044,4490005-1,Jõhvi,59.3558098,27.40118946,34044,Jõhvi,Jõhvi linn,,6584655.0,693381.81,
34046,5990021-1,Tapa,59.26549438,25.96116255,34046,Tapa,Tapa linn,,6571325.0,611832.06,
34047,5990019-1,Tamsalu,59.15981552,26.11186461,34047,Tamsalu,Tamsalu linn,,6559819.5,620793.43,
34048,4490012-1,Narva,59.36886922,28.1980066,34048,Narva,Narva linn,,6588673.0,738542.0,
34049,4490007-1,Kiviõli,59.35287336,26.95613576,34049,Kiviõli,Kiviõli linn,,6583129.0,668109.37,
34050,5190009-1,Türi,58.80506733,25.42214075,34050,Türi,Türi linn,,6519274.0,582188.0,tartu1
34051,7090017-1,Rapla,58.99412908,24.83228549,34051,Rapla,Rapla linn,,6539758.5,547840.31,
34052,6590031-1,Veriora,58.00612541,27.35358596,34052,,Veriora alevik,,6434372.5,698190.43,
34053,6590027-1,Valgemetsa,58.148174899999994,26.96750465,34053,,Vastse-Kuuste vald,,6449103.0,674689.93,
34054,6590023-1,Taevaskoja,58.10128419,27.02859632,34054,,Vastse-Kuuste vald,,6444046.5,678519.56,
34056,6590029-1,Vastse-Kuuste,58.1736817,26.93229019,34056,,Vastse-Kuuste alevik,,6451850.0,672494.12,
34057,6590005-1,Kiidjärve,58.128938600000005,26.99401639,34057,,Vastse-Kuuste vald,,6447032.0,676345.18,
34058,6590001-1,Holvandi,58.05489363,27.19534621,34058,,Põlva vald,,6439341.5,688587.37,
34059,6590021-1,Ruusa,58.04245478,27.27344612,34059,Ruusa,Räpina vald,,6438180.0,693260.75,
34061,6590003-1,Ilumetsa,57.96794139,27.4107544,34061,,Veriora vald,,6430295.5,701782.25,
34062,6590013-1,Orava,57.91983804,27.47349526,34062,Orava,Orava vald,,6425135.5,705768.06,
34066,6590019-1,Põlva,58.07003442,27.09119524,34066,Põlva,Põlva linn,,6440738.0,682367.18,
34067,8290017-1,Puka,58.05511827,26.23981844,34067,,Puka alevik,,6437081.5,632217.31,
34075,8290013-1,Palupera,58.12703165,26.32558472,34075,,Palupera vald,,6445258.5,637000.5,
34076,8290005-1,Keeni,57.94706216,26.23922529,34076,,Sangaste vald,,6425052.0,632584.0,
34077,8290023-1,Sangaste,57.86410426,26.18897319,34077,,Tsirguliina alevik,,6415719.0,629911.12,
34079,8290009-1,Mägiste,58.01095837,26.23127811,34079,,Sangaste vald,,6432149.0,631876.93,
34080,8490001-1,Olustvere,58.54533727,25.54657669,34080,,Suure-Jaani vald,,6490511.56,590045.1,
34081,8490003-1,Sürgavere,58.48774483,25.53714525,34081,,Suure-Jaani vald,,6484086.0,589643.06,
34083,8490007-1,Võhma,58.62943282,25.56167698,34083,Võhma,Võhma linn,,6499896.0,590706.06,
34096,7890013-1,Nõo,58.28156307,26.53726336,34096,Nõo,Nõo vald,,6462909.5,648813.93,
34097,7890031-1,Uhti,58.28910397,26.72894406,34097,Uhti,Ülenurme vald,,6464190.0,660016.12,
34098,7890017-1,Rebase,58.23856329,26.80935925,34098,Rebase,Kambja vald,,6458760.5,664964.37,
34099,7890011-1,Kärkna,58.45789658,26.65907336,34099,,Tartu vald,,6482810.5,655176.25,
34101,7890021-1,Ropka,58.31503184,26.629213099999998,34101,,Ülenurme vald,,6466842.0,654058.12,
